dev_name,slug,email,notes
ada,job-portal,ada@example.com,
grace,ecommerce-marketplace,grace@example.com,
alan,project-management,alan@example.com,
ada,lms,ada2@example.com,
grace,hospital-appointments,grace2@example.com,
alan,expense-split,alan2@example.com,
ada,hotel-booking,ada3@example.com,
grace,food-delivery,grace3@example.com,
alan,cms-blogging,alan3@example.com,
ada,inventory-warehouse,ada4@example.com,
grace,crm,grace4@example.com,
alan,support-desk,alan4@example.com,
ada,property-rental,ada5@example.com,
grace,event-management,grace5@example.com,
alan,fitness-tracker,alan5@example.com,
ada,finance-tracker,ada6@example.com,
grace,library-management,grace6@example.com,
